Product_Version;CVE-ID;CVSS;Date;Description;URL;Exploit?
Nginx-1.14.21;CVE-2018-16845;5.8;2018-11-07;nginx before versions 1.15.6, 1.14.1 has a vulnerability in the ngx_http_mp4_module, which might allow an attacker to cause infinite loop in a worker process, cause a worker process crash, or might result in worker process memory disclosure by using a specially crafted mp4 file. The issue only affects nginx if it is built with the ngx_http_mp4_module (the module is not built by default) and the .mp4. directive is used in the configuration file. Further, the attack is only possible if an attacker is able to trigger processing of a specially crafted mp4 file with the ngx_http_mp4_module.;http://www.cvedetails.com/cve/CVE-2018-16845/;None
Nginx-1.14.21;CVE-2018-16844;7.8;2018-11-07;nginx before versions 1.15.6 and 1.14.1 has a vulnerability in the implementation of HTTP/2 that can allow for excessive CPU usage. This issue affects nginx compiled with the ngx_http_v2_module (not compiled by default) if the &#039,http2&#039, option of the &#039,listen&#039, directive is used in a configuration file.;http://www.cvedetails.com/cve/CVE-2018-16844/;None
Nginx-1.14.21;CVE-2018-16843;7.8;2018-11-07;nginx before versions 1.15.6 and 1.14.1 has a vulnerability in the implementation of HTTP/2 that can allow for excessive memory consumption. This issue affects nginx compiled with the ngx_http_v2_module (not compiled by default) if the &#039,http2&#039, option of the &#039,listen&#039, directive is used in a configuration file.;http://www.cvedetails.com/cve/CVE-2018-16843/;None
Product_Version;CVE-ID;CVSS;Date;Description;URL;Exploit?
Tomcat-7.0.47;CVE-2019-0232;9.3;2019-04-15;When running on Windows with enableCmdLineArguments enabled, the CGI Servlet in Apache Tomcat 9.0.0.M1 to 9.0.17, 8.5.0 to 8.5.39 and 7.0.0 to 7.0.93 is vulnerable to Remote Code Execution due to a bug in the way the JRE passes command line arguments to Windows. The CGI Servlet is disabled by default. The CGI option enableCmdLineArguments is disable by default in Tomcat 9.0.x (and will be disabled by default in all versions in response to this vulnerability). For a detailed explanation of the JRE behaviour, see Markus Wulftange&#039,s blog (https://codewhitesec.blogspot.com/2016/02/java-and-command-line-injections-in-windows.html) and this archived MSDN blog (https://web.archive.org/web/20161228144344/https://blogs.msdn.microsoft.com/twistylittlepassagesallalike/2011/04/23/everyone-quotes-command-line-arguments-the-wrong-way/).;http://www.cvedetails.com/cve/CVE-2019-0232/;None
Tomcat-7.0.47;CVE-2019-0221;4.3;2019-05-28;The SSI printenv command in Apache Tomcat 9.0.0.M1 to 9.0.0.17, 8.5.0 to 8.5.39 and 7.0.0 to 7.0.93 echoes user provided data without escaping and is, therefore, vulnerable to XSS. SSI is disabled by default. The printenv command is intended for debugging and is unlikely to be present in a production website.;http://www.cvedetails.com/cve/CVE-2019-0221/;None
Tomcat-7.0.47;CVE-2018-11784;4.3;2018-10-04;When the default servlet in Apache Tomcat versions 9.0.0.M1 to 9.0.11, 8.5.0 to 8.5.33 and 7.0.23 to 7.0.90 returned a redirect to a directory (e.g. redirecting to &#039,/foo/&#039, when the user requested &#039,/foo&#039,) a specially crafted URL could be used to cause the redirect to be generated to any URI of the attackers choice.;http://www.cvedetails.com/cve/CVE-2018-11784/;None
Tomcat-7.0.47;CVE-2018-8034;5.0;2018-08-01;The host name verification when using TLS with the WebSocket client was missing. It is now enabled by default. Versions Affected: Apache Tomcat 9.0.0.M1 to 9.0.9, 8.5.0 to 8.5.31, 8.0.0.RC1 to 8.0.52, and 7.0.35 to 7.0.88.;http://www.cvedetails.com/cve/CVE-2018-8034/;None
Tomcat-7.0.47;CVE-2018-8014;7.5;2018-05-16;The defaults settings for the CORS filter provided in Apache Tomcat 9.0.0.M1 to 9.0.8, 8.5.0 to 8.5.31, 8.0.0.RC1 to 8.0.52, 7.0.41 to 7.0.88 are insecure and enable &#039,supportsCredentials&#039, for all origins. It is expected that users of the CORS filter will have configured it appropriately for their environment rather than using it in the default configuration. Therefore, it is expected that most users will not be impacted by this issue.;http://www.cvedetails.com/cve/CVE-2018-8014/;None
Tomcat-7.0.47;CVE-2018-1336;5.0;2018-08-02;An improper handing of overflow in the UTF-8 decoder with supplementary characters can lead to an infinite loop in the decoder causing a Denial of Service. Versions Affected: Apache Tomcat 9.0.0.M9 to 9.0.7, 8.5.0 to 8.5.30, 8.0.0.RC1 to 8.0.51, and 7.0.28 to 7.0.86.;http://www.cvedetails.com/cve/CVE-2018-1336/;None
Tomcat-7.0.47;CVE-2018-1305;4.0;2018-02-23;Security constraints defined by annotations of Servlets in Apache Tomcat 9.0.0.M1 to 9.0.4, 8.5.0 to 8.5.27, 8.0.0.RC1 to 8.0.49 and 7.0.0 to 7.0.84 were only applied once a Servlet had been loaded. Because security constraints defined in this way apply to the URL pattern and any URLs below that point, it was possible - depending on the order Servlets were loaded - for some security constraints not to be applied. This could have exposed resources to users who were not authorised to access them.;http://www.cvedetails.com/cve/CVE-2018-1305/;None
Tomcat-7.0.47;CVE-2018-1304;4.3;2018-02-28;The URL pattern of &quot,&quot, (the empty string) which exactly maps to the context root was not correctly handled in Apache Tomcat 9.0.0.M1 to 9.0.4, 8.5.0 to 8.5.27, 8.0.0.RC1 to 8.0.49 and 7.0.0 to 7.0.84 when used as part of a security constraint definition. This caused the constraint to be ignored. It was, therefore, possible for unauthorised users to gain access to web application resources that should have been protected. Only security constraints with a URL pattern of the empty string were affected.;http://www.cvedetails.com/cve/CVE-2018-1304/;None
